Date;case
2020-03-02;2
2020-03-03;2
2020-03-04;2
2020-03-05;2
2020-03-06;4
2020-03-07;4
2020-03-08;6
2020-03-09;19
2020-03-10;27
2020-03-11;34
2020-03-12;34
2020-03-13;69
2020-03-14;96
2020-03-15;117
2020-03-16;134
2020-03-17;172
2020-03-18;227
2020-03-19;309
2020-03-20;369
2020-03-21;450
2020-03-22;514
2020-03-23;579
2020-03-24;685
2020-03-25;790
2020-03-26;893
2020-03-27;1046
2020-03-28;1155
2020-03-29;1285
2020-03-30;1414
2020-03-31;1528
2020-04-01;1677
2020-04-02;1790
2020-04-03;1986
2020-04-04;2092
